"year";"plot";"sp";"lambda"
2015;1;"BEMA";154,434549077014
2016;1;"BEMA";79,8027140615233
2017;1;"BEMA";184,899568583762
2018;1;"BEMA";72,2254438842655
2019;1;"BEMA";NA
2020;1;"BEMA";212,091261887713
2021;1;"BEMA";85,6467636299674
2015;2;"BEMA";154,434549077014
2016;2;"BEMA";79,8027140615233
2017;2;"BEMA";184,899568583762
2018;2;"BEMA";72,2254438842655
2019;2;"BEMA";291,595747523236
2020;2;"BEMA";212,091261887713
2021;2;"BEMA";85,6467636299674
2015;3;"BEMA";154,434549077014
2016;3;"BEMA";79,8027140615233
2017;3;"BEMA";184,899568583762
2018;3;"BEMA";72,2254438842655
2019;3;"BEMA";NA
2020;3;"BEMA";212,091261887713
2021;3;"BEMA";85,6467636299674
2015;4;"BEMA";154,434549077014
2016;4;"BEMA";79,8027140615233
2017;4;"BEMA";NA
2018;4;"BEMA";72,2254438842655
2019;4;"BEMA";291,595747523236
2020;4;"BEMA";212,091261887713
2021;4;"BEMA";85,6467636299674
2015;5;"BEMA";154,434549077014
2016;5;"BEMA";79,8027140615233
2017;5;"BEMA";184,899568583762
2018;5;"BEMA";72,2254438842655
2019;5;"BEMA";NA
2020;5;"BEMA";212,091261887713
2021;5;"BEMA";85,6467636299674
2015;6;"BEMA";154,434549077014
2016;6;"BEMA";79,8027140615233
2017;6;"BEMA";NA
2018;6;"BEMA";NA
2019;6;"BEMA";NA
2020;6;"BEMA";NA
2021;6;"BEMA";85,6467636299674
2015;7;"BEMA";NA
2016;7;"BEMA";79,8027140615233
2017;7;"BEMA";NA
2018;7;"BEMA";NA
2019;7;"BEMA";291,595747523236
2020;7;"BEMA";212,091261887713
2021;7;"BEMA";85,6467636299674
2015;8;"BEMA";NA
2016;8;"BEMA";79,8027140615233
2017;8;"BEMA";NA
2018;8;"BEMA";NA
2019;8;"BEMA";291,595747523236
2020;8;"BEMA";212,091261887713
2021;8;"BEMA";85,6467636299674
2015;9;"BEMA";NA
2016;9;"BEMA";79,8027140615233
2017;9;"BEMA";NA
2018;9;"BEMA";NA
2019;9;"BEMA";291,595747523236
2020;9;"BEMA";212,091261887713
2021;9;"BEMA";85,6467636299674
2015;1;"CETE";604,563024573392
2016;1;"CETE";NA
2017;1;"CETE";914,150930069702
2018;1;"CETE";835,239644463111
2019;1;"CETE";NA
2020;1;"CETE";793,527205362746
2021;1;"CETE";743,456440431248
2015;2;"CETE";604,563024573392
2016;2;"CETE";NA
2017;2;"CETE";914,150930069702
2018;2;"CETE";835,239644463111
2019;2;"CETE";970,965497481716
2020;2;"CETE";793,527205362746
2021;2;"CETE";743,456440431248
2015;3;"CETE";604,563024573392
2016;3;"CETE";NA
2017;3;"CETE";914,150930069702
2018;3;"CETE";835,239644463111
2019;3;"CETE";NA
2020;3;"CETE";793,527205362746
2021;3;"CETE";743,456440431248
2015;4;"CETE";NA
2016;4;"CETE";NA
2017;4;"CETE";NA
2018;4;"CETE";NA
2019;4;"CETE";970,965497481716
2020;4;"CETE";793,527205362746
2021;4;"CETE";743,456440431248
2015;5;"CETE";NA
2016;5;"CETE";924,357162355196
2017;5;"CETE";914,150930069702
2018;5;"CETE";NA
2019;5;"CETE";970,965497481716
2020;5;"CETE";793,527205362746
2021;5;"CETE";743,456440431248
2015;6;"CETE";NA
2016;6;"CETE";NA
2017;6;"CETE";NA
2018;6;"CETE";NA
2019;6;"CETE";970,965497481716
2020;6;"CETE";793,527205362746
2021;6;"CETE";743,456440431248
2015;7;"CETE";NA
2016;7;"CETE";NA
2017;7;"CETE";NA
2018;7;"CETE";NA
2019;7;"CETE";970,965497481716
2020;7;"CETE";793,527205362746
2021;7;"CETE";743,456440431248
2015;8;"CETE";NA
2016;8;"CETE";NA
2017;8;"CETE";NA
2018;8;"CETE";NA
2019;8;"CETE";970,965497481716
2020;8;"CETE";793,527205362746
2021;8;"CETE";743,456440431248
2015;9;"CETE";NA
2016;9;"CETE";924,357162355196
2017;9;"CETE";NA
2018;9;"CETE";NA
2019;9;"CETE";NA
2020;9;"CETE";793,527205362746
2021;9;"CETE";743,456440431248
2015;1;"CHFU";590,825949130359
2016;1;"CHFU";NA
2017;1;"CHFU";279,187485360612
2018;1;"CHFU";NA
2019;1;"CHFU";1026,76711741369
2020;1;"CHFU";294,126629776529
2021;1;"CHFU";389,488202641487
2015;2;"CHFU";590,825949130359
2016;2;"CHFU";NA
2017;2;"CHFU";279,187485360612
2018;2;"CHFU";NA
2019;2;"CHFU";1026,76711741369
2020;2;"CHFU";294,126629776529
2021;2;"CHFU";389,488202641487
2015;3;"CHFU";590,825949130359
2016;3;"CHFU";NA
2017;3;"CHFU";279,187485360612
2018;3;"CHFU";NA
2019;3;"CHFU";1026,76711741369
2020;3;"CHFU";294,126629776529
2021;3;"CHFU";389,488202641487
2015;4;"CHFU";590,825949130359
2016;4;"CHFU";NA
2017;4;"CHFU";279,187485360612
2018;4;"CHFU";NA
2019;4;"CHFU";1026,76711741369
2020;4;"CHFU";294,126629776529
2021;4;"CHFU";389,488202641487
2015;5;"CHFU";590,825949130359
2016;5;"CHFU";NA
2017;5;"CHFU";279,187485360612
2018;5;"CHFU";NA
2019;5;"CHFU";1026,76711741369
2020;5;"CHFU";294,126629776529
2021;5;"CHFU";389,488202641487
2015;6;"CHFU";590,825949130359
2016;6;"CHFU";NA
2017;6;"CHFU";279,187485360612
2018;6;"CHFU";NA
2019;6;"CHFU";1026,76711741369
2020;6;"CHFU";NA
2021;6;"CHFU";389,488202641487
2015;7;"CHFU";NA
2016;7;"CHFU";NA
2017;7;"CHFU";NA
2018;7;"CHFU";NA
2019;7;"CHFU";1026,76711741369
2020;7;"CHFU";294,126629776529
2021;7;"CHFU";389,488202641487
2015;8;"CHFU";NA
2016;8;"CHFU";NA
2017;8;"CHFU";NA
2018;8;"CHFU";NA
2019;8;"CHFU";1026,76711741369
2020;8;"CHFU";294,126629776529
2021;8;"CHFU";389,488202641487
2015;9;"CHFU";NA
2016;9;"CHFU";NA
2017;9;"CHFU";NA
2018;9;"CHFU";NA
2019;9;"CHFU";1026,76711741369
2020;9;"CHFU";294,126629776529
2021;9;"CHFU";389,488202641487
2015;1;"CHMI";555,395697919236
2016;1;"CHMI";NA
2017;1;"CHMI";343,896037999551
2018;1;"CHMI";NA
2019;1;"CHMI";NA
2020;1;"CHMI";80,90400891601
2021;1;"CHMI";NA
2015;2;"CHMI";555,395697919236
2016;2;"CHMI";NA
2017;2;"CHMI";343,896037999551
2018;2;"CHMI";NA
2019;2;"CHMI";716,974463446874
2020;2;"CHMI";80,90400891601
2021;2;"CHMI";50,779360306309
2015;3;"CHMI";555,395697919236
2016;3;"CHMI";164,818162401213
2017;3;"CHMI";343,896037999551
2018;3;"CHMI";139,95274202527
2019;3;"CHMI";NA
2020;3;"CHMI";80,90400891601
2021;3;"CHMI";50,779360306309
2015;4;"CHMI";NA
2016;4;"CHMI";NA
2017;4;"CHMI";NA
2018;4;"CHMI";NA
2019;4;"CHMI";NA
2020;4;"CHMI";NA
2021;4;"CHMI";50,779360306309
2015;5;"CHMI";NA
2016;5;"CHMI";NA
2017;5;"CHMI";NA
2018;5;"CHMI";NA
2019;5;"CHMI";NA
2020;5;"CHMI";NA
2021;5;"CHMI";50,779360306309
2015;6;"CHMI";NA
2016;6;"CHMI";NA
2017;6;"CHMI";NA
2018;6;"CHMI";NA
2019;6;"CHMI";NA
2020;6;"CHMI";NA
2021;6;"CHMI";NA
2015;7;"CHMI";NA
2016;7;"CHMI";164,818162401213
2017;7;"CHMI";NA
2018;7;"CHMI";NA
2019;7;"CHMI";716,974463446874
2020;7;"CHMI";NA
2021;7;"CHMI";50,779360306309
2015;8;"CHMI";NA
2016;8;"CHMI";164,818162401213
2017;8;"CHMI";NA
2018;8;"CHMI";NA
2019;8;"CHMI";NA
2020;8;"CHMI";NA
2021;8;"CHMI";NA
2015;9;"CHMI";NA
2016;9;"CHMI";NA
2017;9;"CHMI";NA
2018;9;"CHMI";NA
2019;9;"CHMI";NA
2020;9;"CHMI";80,90400891601
2021;9;"CHMI";50,779360306309
2015;1;"HOMA";259,616797716516
2016;1;"HOMA";12,4678215050774
2017;1;"HOMA";27,866808868812
2018;1;"HOMA";22,6305213495827
2019;1;"HOMA";23,3588770199996
2020;1;"HOMA";85,2557968456103
2021;1;"HOMA";62,7423965711147
2015;2;"HOMA";259,616797716516
2016;2;"HOMA";12,4678215050774
2017;2;"HOMA";27,866808868812
2018;2;"HOMA";22,6305213495827
2019;2;"HOMA";23,3588770199996
2020;2;"HOMA";85,2557968456103
2021;2;"HOMA";62,7423965711147
2015;3;"HOMA";259,616797716516
2016;3;"HOMA";12,4678215050774
2017;3;"HOMA";27,866808868812
2018;3;"HOMA";22,6305213495827
2019;3;"HOMA";23,3588770199996
2020;3;"HOMA";85,2557968456103
2021;3;"HOMA";62,7423965711147
2015;4;"HOMA";NA
2016;4;"HOMA";12,4678215050774
2017;4;"HOMA";27,866808868812
2018;4;"HOMA";22,6305213495827
2019;4;"HOMA";23,3588770199996
2020;4;"HOMA";85,2557968456103
2021;4;"HOMA";62,7423965711147
2015;5;"HOMA";NA
2016;5;"HOMA";12,4678215050774
2017;5;"HOMA";27,866808868812
2018;5;"HOMA";22,6305213495827
2019;5;"HOMA";23,3588770199996
2020;5;"HOMA";85,2557968456103
2021;5;"HOMA";62,7423965711147
2015;6;"HOMA";259,616797716516
2016;6;"HOMA";12,4678215050774
2017;6;"HOMA";27,866808868812
2018;6;"HOMA";22,6305213495827
2019;6;"HOMA";23,3588770199996
2020;6;"HOMA";NA
2021;6;"HOMA";62,7423965711147
2015;7;"HOMA";259,616797716516
2016;7;"HOMA";12,4678215050774
2017;7;"HOMA";NA
2018;7;"HOMA";NA
2019;7;"HOMA";23,3588770199996
2020;7;"HOMA";85,2557968456103
2021;7;"HOMA";62,7423965711147
2015;8;"HOMA";259,616797716516
2016;8;"HOMA";12,4678215050774
2017;8;"HOMA";NA
2018;8;"HOMA";NA
2019;8;"HOMA";23,3588770199996
2020;8;"HOMA";85,2557968456103
2021;8;"HOMA";62,7423965711147
2015;9;"HOMA";NA
2016;9;"HOMA";12,4678215050774
2017;9;"HOMA";NA
2018;9;"HOMA";NA
2019;9;"HOMA";23,3588770199996
2020;9;"HOMA";NA
2021;9;"HOMA";62,7423965711147
2015;1;"LEMA";557,618770790185
2016;1;"LEMA";132,024970847359
2017;1;"LEMA";128,598671242857
2018;1;"LEMA";112,819175494863
2019;1;"LEMA";1029,761424531
2020;1;"LEMA";436,466587926305
2021;1;"LEMA";572,748276033497
2015;2;"LEMA";557,618770790185
2016;2;"LEMA";132,024970847359
2017;2;"LEMA";128,598671242857
2018;2;"LEMA";112,819175494863
2019;2;"LEMA";1029,761424531
2020;2;"LEMA";436,466587926305
2021;2;"LEMA";572,748276033497
2015;3;"LEMA";557,618770790185
2016;3;"LEMA";132,024970847359
2017;3;"LEMA";128,598671242857
2018;3;"LEMA";112,819175494863
2019;3;"LEMA";1029,761424531
2020;3;"LEMA";436,466587926305
2021;3;"LEMA";572,748276033497
2015;4;"LEMA";557,618770790185
2016;4;"LEMA";132,024970847359
2017;4;"LEMA";128,598671242857
2018;4;"LEMA";NA
2019;4;"LEMA";1029,761424531
2020;4;"LEMA";436,466587926305
2021;4;"LEMA";572,748276033497
2015;5;"LEMA";557,618770790185
2016;5;"LEMA";132,024970847359
2017;5;"LEMA";128,598671242857
2018;5;"LEMA";NA
2019;5;"LEMA";1029,761424531
2020;5;"LEMA";436,466587926305
2021;5;"LEMA";572,748276033497
2015;6;"LEMA";557,618770790185
2016;6;"LEMA";132,024970847359
2017;6;"LEMA";128,598671242857
2018;6;"LEMA";NA
2019;6;"LEMA";1029,761424531
2020;6;"LEMA";NA
2021;6;"LEMA";572,748276033497
2015;7;"LEMA";NA
2016;7;"LEMA";132,024970847359
2017;7;"LEMA";NA
2018;7;"LEMA";NA
2019;7;"LEMA";1029,761424531
2020;7;"LEMA";436,466587926305
2021;7;"LEMA";572,748276033497
2015;8;"LEMA";NA
2016;8;"LEMA";132,024970847359
2017;8;"LEMA";NA
2018;8;"LEMA";NA
2019;8;"LEMA";1029,761424531
2020;8;"LEMA";436,466587926305
2021;8;"LEMA";572,748276033497
2015;9;"LEMA";NA
2016;9;"LEMA";132,024970847359
2017;9;"LEMA";NA
2018;9;"LEMA";NA
2019;9;"LEMA";1029,761424531
2020;9;"LEMA";436,466587926305
2021;9;"LEMA";572,748276033497
2015;1;"MEEL";35,8762656250697
2016;1;"MEEL";15,0328329523414
2017;1;"MEEL";NA
2018;1;"MEEL";NA
2019;1;"MEEL";150,516207287228
2020;1;"MEEL";NA
2021;1;"MEEL";NA
2015;2;"MEEL";35,8762656250697
2016;2;"MEEL";15,0328329523414
2017;2;"MEEL";54,6580362612528
2018;2;"MEEL";NA
2019;2;"MEEL";150,516207287228
2020;2;"MEEL";NA
2021;2;"MEEL";112,779519470771
2015;3;"MEEL";35,8762656250697
2016;3;"MEEL";NA
2017;3;"MEEL";NA
2018;3;"MEEL";NA
2019;3;"MEEL";NA
2020;3;"MEEL";NA
2021;3;"MEEL";NA
2015;4;"MEEL";NA
2016;4;"MEEL";15,0328329523414
2017;4;"MEEL";NA
2018;4;"MEEL";NA
2019;4;"MEEL";NA
2020;4;"MEEL";NA
2021;4;"MEEL";NA
2015;5;"MEEL";NA
2016;5;"MEEL";15,0328329523414
2017;5;"MEEL";NA
2018;5;"MEEL";NA
2019;5;"MEEL";150,516207287228
2020;5;"MEEL";NA
2021;5;"MEEL";112,779519470771
2015;6;"MEEL";35,8762656250697
2016;6;"MEEL";15,0328329523414
2017;6;"MEEL";NA
2018;6;"MEEL";NA
2019;6;"MEEL";NA
2020;6;"MEEL";NA
2021;6;"MEEL";NA
2015;7;"MEEL";NA
2016;7;"MEEL";15,0328329523414
2017;7;"MEEL";NA
2018;7;"MEEL";NA
2019;7;"MEEL";NA
2020;7;"MEEL";NA
2021;7;"MEEL";NA
2015;8;"MEEL";NA
2016;8;"MEEL";15,0328329523414
2017;8;"MEEL";NA
2018;8;"MEEL";NA
2019;8;"MEEL";NA
2020;8;"MEEL";NA
2021;8;"MEEL";NA
2015;9;"MEEL";NA
2016;9;"MEEL";NA
2017;9;"MEEL";NA
2018;9;"MEEL";NA
2019;9;"MEEL";NA
2020;9;"MEEL";NA
2021;9;"MEEL";NA
2015;1;"MESU";120,78850343476
2016;1;"MESU";121,567355471941
2017;1;"MESU";573,668851001948
2018;1;"MESU";NA
2019;1;"MESU";958,477744462729
2020;1;"MESU";NA
2021;1;"MESU";990,276291463159
2015;2;"MESU";120,78850343476
2016;2;"MESU";121,567355471941
2017;2;"MESU";573,668851001948
2018;2;"MESU";NA
2019;2;"MESU";958,477744462729
2020;2;"MESU";NA
2021;2;"MESU";990,276291463159
2015;3;"MESU";120,78850343476
2016;3;"MESU";121,567355471941
2017;3;"MESU";573,668851001948
2018;3;"MESU";NA
2019;3;"MESU";958,477744462729
2020;3;"MESU";NA
2021;3;"MESU";990,276291463159
2015;4;"MESU";NA
2016;4;"MESU";121,567355471941
2017;4;"MESU";NA
2018;4;"MESU";NA
2019;4;"MESU";958,477744462729
2020;4;"MESU";NA
2021;4;"MESU";990,276291463159
2015;5;"MESU";NA
2016;5;"MESU";121,567355471941
2017;5;"MESU";NA
2018;5;"MESU";NA
2019;5;"MESU";NA
2020;5;"MESU";NA
2021;5;"MESU";990,276291463159
2015;6;"MESU";120,78850343476
2016;6;"MESU";121,567355471941
2017;6;"MESU";NA
2018;6;"MESU";NA
2019;6;"MESU";NA
2020;6;"MESU";NA
2021;6;"MESU";NA
2015;7;"MESU";NA
2016;7;"MESU";121,567355471941
2017;7;"MESU";NA
2018;7;"MESU";NA
2019;7;"MESU";958,477744462729
2020;7;"MESU";22,6396081067457
2021;7;"MESU";990,276291463159
2015;8;"MESU";NA
2016;8;"MESU";121,567355471941
2017;8;"MESU";NA
2018;8;"MESU";NA
2019;8;"MESU";958,477744462729
2020;8;"MESU";22,6396081067457
2021;8;"MESU";990,276291463159
2015;9;"MESU";NA
2016;9;"MESU";121,567355471941
2017;9;"MESU";NA
2018;9;"MESU";NA
2019;9;"MESU";958,477744462729
2020;9;"MESU";22,6396081067457
2021;9;"MESU";NA
2015;1;"PAIN";240,906494971402
2016;1;"PAIN";27,2519500004723
2017;1;"PAIN";332,545253854968
2018;1;"PAIN";NA
2019;1;"PAIN";30,4678951729905
2020;1;"PAIN";68,4838619853913
2021;1;"PAIN";67,7801370441923
2015;2;"PAIN";240,906494971402
2016;2;"PAIN";27,2519500004723
2017;2;"PAIN";332,545253854968
2018;2;"PAIN";123,019606266991
2019;2;"PAIN";30,4678951729905
2020;2;"PAIN";68,4838619853913
2021;2;"PAIN";67,7801370441923
2015;3;"PAIN";240,906494971402
2016;3;"PAIN";27,2519500004723
2017;3;"PAIN";332,545253854968
2018;3;"PAIN";123,019606266991
2019;3;"PAIN";30,4678951729905
2020;3;"PAIN";68,4838619853913
2021;3;"PAIN";67,7801370441923
2015;4;"PAIN";240,906494971402
2016;4;"PAIN";27,2519500004723
2017;4;"PAIN";332,545253854968
2018;4;"PAIN";123,019606266991
2019;4;"PAIN";30,4678951729905
2020;4;"PAIN";68,4838619853913
2021;4;"PAIN";67,7801370441923
2015;5;"PAIN";240,906494971402
2016;5;"PAIN";27,2519500004723
2017;5;"PAIN";332,545253854968
2018;5;"PAIN";NA
2019;5;"PAIN";30,4678951729905
2020;5;"PAIN";68,4838619853913
2021;5;"PAIN";67,7801370441923
2015;6;"PAIN";240,906494971402
2016;6;"PAIN";27,2519500004723
2017;6;"PAIN";332,545253854968
2018;6;"PAIN";123,019606266991
2019;6;"PAIN";30,4678951729905
2020;6;"PAIN";68,4838619853913
2021;6;"PAIN";67,7801370441923
2015;7;"PAIN";NA
2016;7;"PAIN";27,2519500004723
2017;7;"PAIN";NA
